name,region,province,population,populationTier,websiteUrl,tenderPageUrl,publicationFormat,detectedPlatform,platformSignals,automationDifficulty,notes,checkedAt
"Antwerpen","Flanders","Antwerp","530504","1","https://www.antwerpen.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Gent","Flanders","East Flanders","265086","1","https://stad.gent","https://stad.gent/overheidsopdrachten","html-list","","list-item-count:142","2","Tender page found via common-path guess (no matching nav link or sitemap entry).","2026-08-15"
"Leuven","Flanders","Flemish Brabant","102275","1","https://www.leuven.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Mechelen","Flanders","Antwerp","86921","2","https://www.mechelen.be","https://www.mechelen.be/digitaal-loket/overheidsopdrachten-voor-werken","html-list","","list-item-count:149","2","Tender page found via link/sitemap match on ""overheidsopdrachten"".","2026-08-15"
"Kortrijk","Flanders","West Flanders","77812","2","https://www.kortrijk.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Sint-Niklaas","Flanders","East Flanders","80202","2","https://www.sint-niklaas.be","https://www.sint-niklaas.be/overheidsopdrachten","html-table","","table-count:1","2","Tender page found via common-path guess (no matching nav link or sitemap entry).","2026-08-15"
"Voeren","Flanders","Limburg","4194","4","https://voeren.mijn-gemeente.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Herstappe","Flanders","Limburg","79","4","https://herstappe.mijn-gemeente.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Liège","Wallonia","Liège","197355","1","https://www.liege.be","https://www.liege.be/fr/je-trouve/marches-publics","html-list","","meta-generator:Plone - http://plone.org; list-item-count:494","2","Tender page found via link/sitemap match on ""marchés publics"".","2026-08-15"
"Charleroi","Wallonia","Hainaut","202000","1","https://www.charleroi.be","https://www.charleroi.be/mes-demarches/economie-and-emploi/consulter-et-repondre-aux-marches-publics","html-list","","list-item-count:289","2","Tender page found via link/sitemap match on ""marchés publics"".","2026-08-15"
"Namur","Wallonia","Namur","110939","1","https://www.namur.be","https://www.namur.be/fr/ma-ville/administration/marches-publics-et-annonces","html-list","","meta-generator:Plone - http://plone.org; list-item-count:487","2","Tender page found via link/sitemap match on ""marchés publics"".","2026-08-15"
"Mons","Wallonia","Hainaut","95576","2","https://www.mons.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Ottignies-Louvain-la-Neuve","Wallonia","Walloon Brabant","31385","2","https://www.olln.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Bastogne","Wallonia","Luxembourg","20654","2","https://www.bastogne.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Daverdisse","Wallonia","Luxembourg","1407","4","https://www.daverdisse.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Ville de Bruxelles","Brussels-Capital","","185670","1","https://www.bruxelles.be","https://www.bruxelles.be/marches-publics","html-table","","table-count:5","2","Tender page found via common-path guess (no matching nav link or sitemap entry).","2026-08-15"
"Schaerbeek","Brussels-Capital","","132097","1","https://www.1030.be","https://www.1030.be/nl/actualites/overheidsopdracht-voor-muzik1030-bar","html-list","","list-item-count:72","2","Tender page found via link/sitemap match on ""overheidsopdracht"".","2026-08-15"
"Ixelles","Brussels-Capital","","86336","2","https://www.ixelles.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Watermael-Boitsfort","Brussels-Capital","","25276","2","https://watermael-boitsfort.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
"Eupen","German-speaking","Liège","20583","2","https://www.eupen.be","","none","","","5","No tender/procurement page found via nav links, sitemap, or common path guesses.","2026-08-15"
